 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000       1.00000000    
   3.12500000       1.00000000    
   3.37500000      0.997017443    
   3.62500000      0.992756724    
   3.87500000      0.985797465    
   4.12500000      0.980684578    
   4.37500000      0.969748616    
   4.62500000      0.958812654    
   4.87500000      0.950717211    
   5.12500000      0.936372697    
   5.37500000      0.920465827    
   5.62500000      0.908961773    
   5.87500000      0.892344832    
   6.12500000      0.880556762    
   6.37500000      0.870188892    
   6.62500000      0.852293730    
   6.87500000      0.837949157    
   7.12500000      0.811958551    
   7.37500000      0.790086627    
   7.62500000      0.697202086    
   7.87500000      0.638829708    
   8.12500000      0.605311751    
   8.37500000      0.576622665    
   8.62500000      0.538417816    
   8.87500000      0.513137341    
   9.12500000      0.497798622    
   9.37500000      0.480613559    
   9.62500000      0.323533595    
   9.87500000      0.264025003    
   10.1250000      0.259622216    
   10.3750000      0.256213605    
   10.6250000      0.253231078    
   10.8750000      0.249964491    
   11.1250000      0.248828292    
   11.3750000      0.245703742    
   11.6250000      0.245135635    
   11.8750000      0.239738673    
   12.1250000      0.238886520    
   12.3750000      0.235761970    
   12.6250000      0.234341711    
   12.8750000      0.234199688    
   13.1250000      0.229654878    
   13.3750000      0.228376657    
   13.6250000      0.224968046    
   13.8750000      0.219997153    
   14.1250000      0.219855130    
   14.3750000      0.114472374    
   14.6250000       2.84050554E-02
   14.8750000       2.84050554E-02
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
