 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000      0.999898791    
   3.12500000      0.999595225    
   3.37500000      0.997874916    
   3.62500000      0.996255815    
   3.87500000      0.994737923    
   4.12500000      0.992916405    
   4.37500000      0.990487754    
   4.62500000      0.988261461    
   4.87500000      0.985934019    
   5.12500000      0.984011352    
   5.37500000      0.982392251    
   5.62500000      0.980671942    
   5.87500000      0.978850424    
   6.12500000      0.977636099    
   6.37500000      0.975814641    
   6.62500000      0.974499106    
   6.87500000      0.972880006    
   7.12500000      0.971463263    
   7.37500000      0.970147729    
   7.62500000      0.968528628    
   7.87500000      0.966707170    
   8.12500000      0.964784443    
   8.37500000      0.963671327    
   8.62500000      0.961141467    
   8.87500000      0.959825933    
   9.12500000      0.958510399    
   9.37500000      0.956891298    
   9.62500000      0.955069840    
   9.87500000      0.952843547    
   10.1250000      0.951730430    
   10.3750000      0.950313687    
   10.6250000      0.948087454    
   10.8750000      0.944748044    
   11.1250000      0.942319393    
   11.3750000      0.939587116    
   11.6250000      0.935944140    
   11.8750000      0.931693971    
   12.1250000      0.925419927    
   12.3750000      0.920056641    
   12.6250000      0.913985014    
   12.8750000      0.907306194    
   13.1250000      0.898805916    
   13.3750000      0.882210076    
   13.6250000      0.851042271    
   13.8750000      0.755919874    
   14.1250000      0.673851430    
   14.3750000      0.626796186    
   14.6250000      0.559704542    
   14.8750000      0.420866221    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
