 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.997806072    
   2.87500000      0.996030092    
   3.12500000      0.995194316    
   3.37500000      0.993104875    
   3.62500000      0.989657342    
   3.87500000      0.983389080    
   4.12500000      0.975135803    
   4.37500000      0.966778100    
   4.62500000      0.959674060    
   4.87500000      0.953301311    
   5.12500000      0.948704541    
   5.37500000      0.942122877    
   5.62500000      0.935854554    
   5.87500000      0.929168403    
   6.12500000      0.921333075    
   6.37500000      0.911303818    
   6.62500000      0.844337642    
   6.87500000      0.830338478    
   7.12500000      0.820518196    
   7.37500000      0.811011255    
   7.62500000      0.798997104    
   7.87500000      0.784266591    
   8.12500000      0.773401558    
   8.37500000      0.760133743    
   8.62500000      0.748537421    
   8.87500000      0.738508165    
   9.12500000      0.730254889    
   9.37500000      0.722419560    
   9.62500000      0.715733409    
   9.87500000      0.701629758    
   10.1250000      0.692540765    
   10.3750000      0.680735469    
   10.6250000      0.500417888    
   10.8750000      0.492895961    
   11.1250000      0.488194734    
   11.3750000      0.482344329    
   11.6250000      0.478896797    
   11.8750000      0.473673224    
   12.1250000      0.468658596    
   12.3750000      0.463643968    
   12.6250000      0.459047228    
   12.8750000      0.454346001    
   13.1250000      0.449017972    
   13.3750000      0.442122847    
   13.6250000      0.439406604    
   13.8750000      0.432511479    
   14.1250000      0.427601337    
   14.3750000      0.424258262    
   14.6250000      0.421228588    
   14.8750000      0.418303370    
   15.1250000      0.415482670    
   15.3750000      0.411617219    
   15.6250000      0.406915992    
   15.8750000      0.403990805    
   16.1250000      0.400961131    
   16.3750000      0.399707466    
   16.6250000      0.396991223    
   16.8750000       9.75762606E-02
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
